,Authors,ISBN,ISBN-13,Language,Publisher,Title,Year
268,Michael Crichton,0345402871,9780345402875,en,"Random House Digital, Inc.",Airframe,1997
269,Michael Crichton,0345417623,9780345417626,en,,Timeline,2000
270,Clive Staples Lewis,0684823802,9780684823805,en,Scribner,Out Of The Silent Planet,1996
271,Arthur Phillips,0375759778,9780375759772,en,Random House Trade Paperbacks,Prague: A Novel,2003
272,Stephan Jaramillo,0425163091,9780425163092,en,Berkley Publishing Group,Chocolate Jesus,1998
273,Mordecai Richler,3404921038,9783404921034,en,Bergisch Gladbach [Germany] : BLT,Barney's Version: A Novel,2002
274,Eleanor Cooney,3442353866,9783442353866,de,,Der Fluch der Kaiserin,2001
275,Daniel Altieri,3442353866,9783442353866,de,,Der Fluch der Kaiserin,2001
276,Charlotte Link,3442410665,9783442410668,de,,Sturmzeit: Roman,1991
277,Richard North Patterson,3442446937,9783442446933,,Goldmann,Tage der Unschuld,2000
278,Mark Salzman,0375406328,9780375406324,en,Alfred A. Knopf,Lying Awake,2000
279,Vojo Rakić,0446310786,9780446310789,sr,,To kill a mockingbird,1959
280,Laura Hillenbrand,0449005615,9780449005613,en,"Random House Digital, Inc.",Seabiscuit: An American Legend,2001
281,Barbara Kingsolver,0060168013,9780060168018,en,"New York, NY : HarperCollins",Pigs In Heaven: A Novel,1993
282,Jo Dereske,038078243X,9780380782437,en,Harper Collins,Miss Zukas And The Raven's Dance,1996
283,Dolores Krieger,067176537X,9780671765378,en,Simon and Schuster,The Therapeutic Touch: How To Use Your Hands To Help Or To Heal,1979
284,Anne Rivers Siddons,0061099686,9780061099687,en,HarperTorch,Downtown: A Novel,1995
285,Dean Koontz,0553582909,9780553582901,en,Bantam,Icebound,2000
286,Mary Higgins Clark,0671888587,9780671888589,en,Pocket Books,I'll Be Seeing You: A Novel,1994
287,Dean Ray Koontz,0553582747,9780553582741,en,Bantam,From The Corner Of His Eye,2001
288,Patricia Cornwell,0425182908,9780425182901,en,Penguin,Isle Of Dogs,2002
289,J. D. Robb,042518630X,9780425186305,en,Penguin,Purity In Death,2002
290,Nora Roberts,042518630X,9780425186305,en,Penguin,Purity In Death,2002
291,Maeve Binchy,0440223571,9780440223573,en,Dell Publishing Company,This Year It Will Be Different And Other Stories: A Christmas Treasury,1997
292,Laura J. Mixon,0812523873,9780812523874,en,Tor Books,Proxies,1999
293,Tim Lahaye,0842342702,9780842342704,en,Tyndale House Pub,Left Behind: A Novel Of The Earth's Last Days,1998
294,Tim F. LaHaye,0842342702,9780842342704,en,Tyndale House Pub,Left Behind: A Novel Of The Earth's Last Days,1998
295,Jerry B. Jenkins,0842342702,9780842342704,en,Tyndale House Pub,Left Behind: A Novel Of The Earth's Last Days,1998
296,John Grisham,0440225701,9780440225706,en,Dell Publishing Company,The Street Lawyer,1998
297,Bernie S. Siegel,0060914068,9780060914066,en,HarperCollins Publishers,"Love, Medicine, &Amp;Amp; Miracles: Lessons Learned About Self-Healing From A Surgeon's Experience With Exceptional Patients",1988
298,Robert Penn Warren,0156047624,9780156047623,en,Harvest Books,All The King's Men,1982
299,Hans Johannes Hoefer,0245542957,9780245542954,,Chambers Harrap Publishers Ltd,The Pacific Northwest,1985
300,Mark Helprin,0380715899,9780380715893,en,,A Soldier Of The Great War,1992
301,Oscar Carl Simonton,0553280333,9780553280333,en,Bantam,"Getting Well Again: A Step-By-Step, Self-Help Guide To Overcoming Cancer For Patients And Their Families",1992
302,James L. Creighton,0553280333,9780553280333,en,Bantam,"Getting Well Again: A Step-By-Step, Self-Help Guide To Overcoming Cancer For Patients And Their Families",1992
303,Stephanie Matthews Simonton,0553280333,9780553280333,en,Bantam,"Getting Well Again: A Step-By-Step, Self-Help Guide To Overcoming Cancer For Patients And Their Families",1992
304,Chuck Hill,0961769947,9780961769949,en,,Northwest Wines &Amp;Amp; Wineries,1993
305,David Iglehart,0964778319,9780964778313,en,Sunflower Publishing Company,An Atmosphere Of Eternity: Stories Of India,2002
306,Larry McMurtry,0671623249,9780671623241,en,"Pocket Books ; Markham, Ont. : Distributed in Canada by PaperJacks, 1986",Lonesome Dove: A Novel,1986
307,Suzanne Fisher Staples,0679810307,9780679810308,en,Laurel Leaf,Shabanu: Daughter Of The Wind,1991
308,Suzanne Fisher Staples,0679865691,9780679865698,en,Laurel Leaf,Haveli,1995
309,Michel Tournier,2070423204,9782070423200,,Gallimard,Lieux dits,2002
310,Carl Sagan,0345260317,9780345260314,en,,The Dragons Of Eden: Speculations On The Evolution Of Human Intelligence,1978
311,Aleksandr Zinoviev,0394743741,9780394743745,,,The yawning heights,
312,Anne Tyler,042511774X,9780425117743,,Berkley Books,Breathing lessons,1989
313,Amy Tan,0804106304,9780804106306,en,Random House LLC,The Joy Luck Club,1990
314,Joseph Conrad,1853262404,9781853262401,en,Wordsworth Editions,"Heart Of Darkness: An Authoritative Text, Backgrounds And Sources, Criticism",1995
315,Deepak Chopra,0312970242,9780312970246,en,Macmillan,Deepak Chopra's The Angel Is Near,2000
316,Martin Greenberg,0312970242,9780312970246,en,Macmillan,Deepak Chopra's The Angel Is Near,2000
317,Thomas Hardy,1853260053,9781853260056,en,Wordsworth Editions,Tess Of The D'Urbervilles: An Authoritative Text ; Hardy And The Novel ; Criticism,1992
318,Charles Noland,1414035004,9781414035000,,Authorhouse,The Adventures of Drew and Ellie,2003
319,Valerie Frankel,0060938412,9780060938413,,Avon,The accidental virgin,2003
320,Benjamin Hoff,0140067477,9780140067477,en,Penguin Group USA,The Tao Of Pooh,1982
321,Laura Hillenbrand,0345465083,9780345465085,en,"Random House Digital, Inc.",Seabiscuit: An American Legend,2003
322,Niccolò Machiavelli,0451625889,9780451625885,en,Signet,The Prince And The Discourses,1952
323,H. Jackson Brown,1558531025,9781558531024,en,,Life's Little Instruction Book,1991
324,Robert Anson Heinlein,0441783589,9780441783588,en,Penguin,Starship Troopers,1987
325,Philip Pullman,0394895894,9780394895895,en,Random House of Canada,The Ruby In The Smoke,1985
326,Anna Sewell,1569871213,9781569871218,en,,Black Beauty,1995
327,Ron Huron,1569871213,9781569871218,en,,Black Beauty,1995
328,Michael Ondaatje,0375410538,9780375410536,en,Knopf,Anil's Ghost,2000
329,Sandra Levy Ceren,0966986105,9780966986105,en,Andrew Scott Pub,Prescription For Terror,1999
330,P. J. O'Rourke,087113375X,9780871133755,,Atlantic Monthly Press,Modern manners: an etiquette book for rude people,1990
331,Mike Gayle,0340767936,9780340767931,,Hodder & Stoughton General Division,Turning thirty,2000
332,Stel Pavlou,0743403843,9780743403849,,Pocket Books,Decipher,2002
333,Sarah Payne Stuart,0060930365,9780060930363,,Harper Perennial,"My first cousin once removed: money, madness, and the family of Robert Lowell",1999
334,Dan Quayle,0060177586,9780060177584,en,HarperCollins Publishers,Standing Firm: A Vice-Presidential Memoir,1994
335,Donald F. Kettl,0071416331,9780071416337,,McGraw-Hill,Team Bush: leadership lessons from the Bush White House,2003
336,David Frum,0375509038,9780375509032,en,Random House Incorporated,The Right Man: The Surprise Presidency Of George W. Bush,2003
337,Louis L'Amour,0553062042,9780553062045,,Bantam Doubleday Dell,The daybreakers,1981
338,J.D. Salinger,0316769487,9780316769488,en,"Little, Brown",The Catcher In The Rye,1991
339,John Ronald Reuel Tolkien,8445071408,9788445071403,es,Planeta Publishing,The fellowship of the ring,1991
340,J. R. R. Tolkien,8445071769,9788445071762,,Minotauro,El señor de los anillos,1977
341,John Ronald Reuel Tolkien,8445071777,9788445071779,es,Distribooks,The return of the king,1991
342,John Berendt,0679429220,9780679429227,en,Random House Incorporated,Midnight In The Garden Of Good And Evil: A Savannah Story,1994
343,Mary Higgins Clark,0671867156,9780671867157,en,Simon and Schuster,Pretend You Don't See Her: A Novel,1997
344,Jennifer Crusie,0312252617,9780312252618,en,St Martins Press,Fast Women,2001
345,Jane Heller,0312261594,9780312261597,,St. Martin's Press,Female intelligence,2001
346,Michael Rips,0316748641,9780316748643,en,Back Bay Books,Pasquale's Nose,2002
347,Simon Mawer,0316973742,9780316973748,en,Back Bay Books,The Gospel Of Judas: A Novel,2002
348,William Abrahams,0385235941,9780385235945,,Doubleday,Prize stories 1987: the O. Henry awards,1987
349,Robert T. Kiyosaki,0446677450,9780446677455,,Business Plus,"Rich dad, poor dad: what the rich teach their kids about money-- that the poor and middle class do not!",2000
350,Ken Follett,0451166892,9780451166890,en,Signet Book,The Pillars Of The Earth,1990
351,John F. Love,0553347594,9780553347593,en,Bantam,McDonald's: Behind The Arches,1995
352,Robert G. Allen,0671621009,9780671621001,en,Fireside,Creating Wealth,1986
353,Louis De Bernières,067976397X,9780679763970,,Vintage Books,Corelli's mandolin,1995
354,Allen M. Schoen,0684822733,9780684822730,en,Fireside,"Love, Miracles, And Animal Healing: A Veterinarian's Journey From Physical Medicine To Spiritual Understanding",1996
355,Pam Proctor,0684822733,9780684822730,en,Fireside,"Love, Miracles, And Animal Healing: A Veterinarian's Journey From Physical Medicine To Spiritual Understanding",1996
356,Mitch Albom,0786868716,9780786868711,en,Hyperion,The Five People You Meet In Heaven,2003
357,Irene González Frei,8472238822,9788472238824,es,,Your name written on water: an erotic novel,1995
358,Michael Jan Friedman,0671864769,9780671864767,en,Pocket Books/Star Trek,Relics,1992
359,Glendon Swarthout,0671521519,9780671521516,en,,Bless The Beasts And Children,1995
360,Neal Barrett,0440222303,9780440222309,en,Dell Publishing Company,"The Touch Of Your Shadow, The Whisper Of Your Name",1996
361,J. Michael Straczynski,0440222303,9780440222309,en,Dell Publishing Company,"The Touch Of Your Shadow, The Whisper Of Your Name",1996
362,David Morrell,0312953453,9780312953454,en,Macmillan,Blood Oath,1994
363,Sandra Brown,0446608653,9780446608657,en,Grand Central Publishing,The Alibi,2000
364,James Patterson,0446612545,9780446612548,,Warner Books,The beach house: a novel,2001
365,Sandra Brown,0446612618,9780446612616,,,A kiss remembered,
366,Stuart Woods,0451208080,9780451208088,en,Penguin,The Short Forever,2003
367,Iris Johansen,0553584383,9780553584387,en,"Random House Digital, Inc.",Dead Aim,2004
368,Dan Brown,0671027360,9780671027360,en,Pocket Books,Angels &Amp;Amp; Demons,2001
369,Joe Hutsko,0812575954,9780812575958,en,Forge Books,The Deal,2000
370,Anita Shreve,0316735736,9780316735735,,"Back Bay Books ; Little, Brown, and Co.",All he ever wanted: a novel,2003
371,Ann Rule,0743439740,9780743439749,,Pocket,"Every breath you take: a true story of obsession, revenge, and murder",2002
372,Lewis Grizzard,0345372700,9780345372703,en,Ballantine Books,"If I Ever Get Back To Georgia, I'm Gonna Nail My Feet To The Ground",1991
373,Paul Theroux,0380619458,9780380619450,en,Avon Books,The Mosquito Coast: A Novel,1986
374,Lewis Grizzard,0446325805,9780446325806,,Warner Books,"If love were oil, I'd be about a quart low: Lewis Grizzard on women",1986
375,Charles Hickey,0451406923,9780451406927,en,Onyx Books,"Goodbye, My Little Ones: The True Story Of A Murderous Mother And Five Innocent Victims",1996
376,John O'Brien,0451406923,9780451406927,en,Onyx Books,"Goodbye, My Little Ones: The True Story Of A Murderous Mother And Five Innocent Victims",1996
377,Stephen King,0671042858,9780671042851,en,Pocket,The Girl Who Loved Tom Gordon,1999
378,Ben Mezrich,0743249992,9780743249997,en,Simon and Schuster,Bringing Down The House: The Inside Story Of Six MIT Students Who Took Vegas For Millions,2003
379,Bill Hand,0840734530,9780840734532,en,Thomas Nelson Incorporated,The Oneprince,1992
380,Tom Clancy,0425184226,9780425184226,en,Penguin,The Sum Of All Fears,2002
381,Dana Reeve,0375500766,9780375500763,en,Random House Incorporated,Care Packages: Letters To Christopher Reeve From Strangers And Other Friends,1999
382,Roy,9724119378,9789724119373,,Edicoes Asa,The god of small things,1998
383,Barbara Metzger,0451205197,9780451205193,en,Signet,"Lady In Green: And, Minor Indiscretions",2002
384,Gabriel Garcia Marquez,0060929790,9780060929794,,Perennial Classics,One hundred years of solitude,1998
385,Rebecca Wells,0060976845,9780060976842,en,Harper Paperbacks,Little Altars Everywhere,1996
386,Tony Hillerman,0061099325,9780061099328,en,HarperTorch,Coyote Waits,1992
387,Mary Higgins Clark,0671004573,9780671004576,,Pocket,Before I say good-bye,2001
388,Robert James Waller,0446601640,9780446601641,en,Grand Central Pub,Slow Waltz In Cedar Bend,1994
389,Rachel Harris,0330484516,9780330484510,en,,"20-Minute Retreats: Revive Your Spirits In Just Minutes A Day With Simple, Self-Led Exercises",2001
390,Ian McEwan,038572179X,9780385721790,en,Anchor,The Handmaid's Tale,2003
391,Michael Lewis,0393020371,9780393020373,,W. W. Norton & Company,Next: the future just happened,2001
392,Richard Zimler,1900850303,9781900850308,en,,The Angelic Darkness: A Novel,1999
393,"Norman, Jr. Jetmundsen",1903019699,9781903019696,,"John Hunt Publishing, Ltd.",The soulbane stratagem: diabolical subterfuge that threatens to destroy us,2004
394,Lorenzo Carcaterra,0345425294,9780345425294,en,Fawcett,Gangster,2002
395,Anne Frasier,0451410319,9780451410313,en,Onyx Books,Hush,2002
396,Kay Hooper,0553583468,9780553583465,en,Bantam,Whisper Of Evil,2002
397,Sören Kierkegaard,8420639133,9788420639130,en,Anaya -Spain,Fear And Trembling ; Repetition,2001
398,Vicente Simón Merchán,8420639133,9788420639130,en,Anaya -Spain,Fear And Trembling ; Repetition,2001
399,José Ortega y Gasset,8476409419,9788476409411,es,EDAF,On love: aspects of a single theme,1995
400,Jose Luís Molinuevo,8476409419,9788476409411,es,EDAF,On love: aspects of a single theme,1995
401,Daphne Du Maurier,0380778556,9780380778553,en,Avon,Rebecca,1994
402,Nathaniel Hawthorne,0451525221,9780451525222,,Signet Classics,The scarlet letter,1959
403,Nick Page,0002740230,9780002740234,,HarperCollins Publishers Limited,Keep it simple: [and get more out of life],1999
404,Laura Wolf,0385336772,9780385336772,en,Delta,Diary Of A Mad Mom-To-Be,2003
405,Lois Duncan,0440949424,9780440949428,en,Laurel Leaf,Locked In Time,1986
406,Susan Grant,0505524996,9780505524997,en,,Contact,2002
407,Barbara Vine,0140252800,9780140252804,en,Penguin UK,The Brimstone Wedding,1996
408,Shirley Rousseau Murphy,0451452755,9780451452757,,,The Catswold portal,
409,Jane Lindskold,0812575482,9780812575484,,Tor Fantasy,Through wolf's eyes,2002
410,Robert James Waller,044651747X,9780446517478,en,Grand Central Publishing,Puerto Vallarta Squeeze: The Run For El Norte,1995
411,Betty Smith,0060801263,9780060801267,en,HarperCollins Publishers,"A Tree Grows In Brooklyn, A Novel",1947
412,Cybill Shepherd,0061030147,9780061030147,,Avon,"Cybill disobedience: how I survived beauty pageants, Elvis, sex, Bruce Willis, lies, marriage, motherhood, hollywood, and the irrepressible urge to say what I think",2001
413,Stewart O'Nan,0140250964,9780140250961,,Penguin (Non-Classics),Snow angels,1995
414,David Baldacci,0446527165,9780446527163,en,Grand Central Publishing,Wish You Well,2000
415,Douglas Adams,0671461494,9780671461492,en,Pocket,The Hitchhiker's Guide To The Galaxy,1981
416,Mary Lawson,0385337639,9780385337632,en,Dial Press,Crow Lake,2003
417,Willa Cather,039575514X,9780395755143,en,Houghton Mifflin Harcourt,My Ántonia,1995
418,Olivia Goldsmith,0451206673,9780451206671,,,Pen pals,
419,Helen Fielding,0330332775,9780330332774,,Picador,Bridget Jones's diary: a novel,1996
420,Jane Austen,0486284735,9780486284736,en,Courier Corporation,Jane Austen's Pride And Prejudice,1995
421,Franklin W. Dixon,0671021745,9780671021740,,Pocket Books,Eye on crime,1998
422,Franklin W. Dixon,0671047612,9780671047610,,Pocket Books,Skin&amp;amp;bones,2000
423,Franklin W. Dixon,0671504282,9780671504281,en,Simon Pulse,Law Of The Jungle,1995
424,Lilian Jackson Braun,0399138684,9780399138683,,Putnam,The cat who came to breakfast,1994
425,Holly Virden,0785263292,9780785263296,en,Thomas Nelson Inc,"If Singleness Is A Gift, What's The Return Policy?",2003
426,H. Norman Wright,0830714014,9780830714018,en,,Always Daddy's Girl: Understanding Your Father's Impact On Who You Are,1989
427,Piers Anthony,0345354931,9780345354938,en,Del Rey,Night Mare,1987
428,Ray Bradbury,0553278223,9780553278224,en,Spectra,The Martian Chronicles,1979
429,Friedrich Schiller,3150000335,9783150000335,,Philipp Reclam jun. Verlag GmbH,Intrigue and love; a bourgeois tragedy,2016
430,Ray Bradbury,3257203659,9783257203653,,Diogenes,The illustrated man,1977
431,Raymond Chandler,3257207522,9783257207521,,Diogenes Verlag,König in Gelb: und andere Detektivstories,1980
432,Ray Bradbury,3257208626,9783257208627,,Diogenes-Verl.,Fahrenheit 451,1986
433,Ray Bradbury,3257208634,9783257208634,en,,The Martian Chronicles,1981
434,Ray Bradbury,3257208669,9783257208665,en,,Something Wicked This Way Comes,1981
435,Ray Bradbury,3257210450,9783257210453,,Diogenes Verlag,Dandelion wine: a novel,1999
436,Ray Bradbury,3257212054,9783257212051,en,,Das Kind Von Morgen,2000
